"","Country","Hotels","Date"
"217","Saint Martin","289","2017-FEB-27"
"218","Saint Lucia","160","2017-FEB-27"
"219","Ghana","701","2017-FEB-27"
"220","Guyana","25","2017-FEB-27"
"221","Germany","45014","2017-FEB-27"
"222","India","25139","2017-FEB-27"
"223","New Zealand","5001","2017-FEB-27"
"224","Monaco","29","2017-FEB-27"
"225","Peru","4575","2017-FEB-27"
"226","Denmark","23254","2017-FEB-27"
"227","Trinidad and Tobago (Trinidad Tbgo) hotels","135","2017-FEB-27"
"228","South Korea","4538","2017-FEB-27"
"229","Nigeria","803","2017-FEB-27"
"230","Malta","1076","2017-FEB-27"
"231","Greenland","23","2017-FEB-27"
"232","Colombia","7183","2017-FEB-27"
"233","Mauritius","1001","2017-FEB-27"
"234","Dominica","111","2017-FEB-27"
"235","Turkey","14920","2017-FEB-27"
"236","Philippines","3432","2017-FEB-27"
"237","Australia","16128","2017-FEB-27"
"238","Seychelles","450","2017-FEB-27"
"239","Guatemala","661","2017-FEB-27"
"240","France","72140","2017-FEB-27"
"241","Sweden","6880","2017-FEB-27"
"242","Samoa","67","2017-FEB-27"
"243","Argentina","11072","2017-FEB-27"
"244","Tonga","59","2017-FEB-27"
"245","Belgium","7195","2017-FEB-27"
"246","Chile","8318","2017-FEB-27"
"247","Armenia","1286","2017-FEB-27"
"248","Fiji","214","2017-FEB-27"
"249","Solomon Islands (Solomon Is) hotels","22","2017-FEB-27"
"250","Greece","25326","2017-FEB-27"
"251","Malaysia","5792","2017-FEB-27"
"252","Portugal","19217","2017-FEB-27"
"253","Anguilla","54","2017-FEB-27"
"254","Sri Lanka","7531","2017-FEB-27"
"255","Spain","62507","2017-FEB-27"
"256","Taiwan","4961","2017-FEB-27"
"257","Switzerland","10851","2017-FEB-27"
"258","Qatar","125","2017-FEB-27"
"259","Gambia","98","2017-FEB-27"
"260","Tunisia","639","2017-FEB-27"
"261","Oman","305","2017-FEB-27"
"262","Tanzania","1305","2017-FEB-27"
"263","Liechtenstein","37","2017-FEB-27"
"264","Ecuador","2261","2017-FEB-27"
"265","Croatia","64931","2017-FEB-27"
"266","Bahrain","155","2017-FEB-27"
"267","United Arab Emirates (U.A. Emirates) hotels","1572","2017-FEB-27"
"268","Thailand","18088","2017-FEB-27"
"269","Egypt","1467","2017-FEB-27"
"270","St. Maarten","176","2017-FEB-27"
"271","Curaçao","375","2017-FEB-27"
"272","Nicaragua","744","2017-FEB-27"
"273","Kuwait","129","2017-FEB-27"
"274","Cyprus","3530","2017-FEB-27"
"275","Austria","24132","2017-FEB-27"
"276","China","45946","2017-FEB-27"
"277","Norway","4215","2017-FEB-27"
"278","Netherlands","10640","2017-FEB-27"
"279","Kenya","1741","2017-FEB-27"
"280","Ethiopia","350","2017-FEB-27"
"281","Cape Verde","411","2017-FEB-27"
"282","Saudi Arabia","2063","2017-FEB-27"
"283","New Caledonia","42","2017-FEB-27"
"284","Finland","2635","2017-FEB-27"
"285","Cambodia","2376","2017-FEB-27"
"286","Poland","22071","2017-FEB-27"
"287","Morocco","4745","2017-FEB-27"
"288","Bolivia","555","2017-FEB-27"
"289","Iraq","91","2017-FEB-27"
"290","Ukraine","6312","2017-FEB-27"
"291","El Salvador","223","2017-FEB-27"
"292","Cook Islands","168","2017-FEB-27"
"293","Montenegro","4961","2017-FEB-27"
"294","Macau","67","2017-FEB-27"
"295","Faroe Islands","33","2017-FEB-27"
"296","Suriname","105","2017-FEB-27"
"297","French Polynesia (Fr Polynesia) hotels","263","2017-FEB-27"
"298","Honduras","486","2017-FEB-27"
"299","Russia (Russian Fed.) hotels","36172","2017-FEB-27"
"300","Madagascar","305","2017-FEB-27"
"301","Lebanon","382","2017-FEB-27"
"302","Uruguay","1855","2017-FEB-27"
"303","South Africa","10700","2017-FEB-27"
"304","Slovenia","3240","2017-FEB-27"
"305","Senegal","413","2017-FEB-27"
"306","Pakistan","280","2017-FEB-27"
"307","Hungary","10928","2017-FEB-27"
"308","Bhutan","58","2017-FEB-27"
"309","Papua New Guinea (Pap New Guinea) hotels","44","2017-FEB-27"
"310","Vanuatu","154","2017-FEB-27"
"311","Romania","8538","2017-FEB-27"
"312","Venezuela","37","2017-FEB-27"
"313","Luxembourg","320","2017-FEB-27"
"314","Equatorial Guinea (Eq. Guinea) hotels","8","2017-FEB-27"
"315","Vietnam","7277","2017-FEB-27"
"316","Myanmar","1090","2017-FEB-27"
"317","Jordan","521","2017-FEB-27"
"318","Kazakhstan","1449","2017-FEB-27"
"319","Indonesia","12172","2017-FEB-27"
"320","Rwanda","215","2017-FEB-27"
"321","Angola","78","2017-FEB-27"
"322","Andorra","472","2017-FEB-27"
"323","Uganda","621","2017-FEB-27"
"324","Latvia","2122","2017-FEB-27"
"325","Cameroon","186","2017-FEB-27"
"326","Libya","4","2017-FEB-27"
"327","Bosnia and Herzegovina (Bosnia Herz) hotels","2403","2017-FEB-27"
"328","Benin","100","2017-FEB-27"
"329","Albania","1703","2017-FEB-27"
"330","San Marino","32","2017-FEB-27"
"331","Nepal","808","2017-FEB-27"
"332","French Guiana","26","2017-FEB-27"
"333","Czech Republic (Czech Rep.) hotels","11144","2017-FEB-27"
"334","Tajikistan","82","2017-FEB-27"
"335","Swaziland","33","2017-FEB-27"
"336","Mozambique","192","2017-FEB-27"
"337","Brunei (Brunei D.) hotels","30","2017-FEB-27"
"338","Azerbaijan","590","2017-FEB-27"
"339","Moldova","362","2017-FEB-27"
"340","Lithuania","2881","2017-FEB-27"
"341","Estonia","2515","2017-FEB-27"
"342","Crimea","4604","2017-FEB-27"
"343","Uzbekistan","222","2017-FEB-27"
"344","Northern Mariana Islands (N Mariana Is) hotels","40","2017-FEB-27"
"345","Niue","7","2017-FEB-27"
"346","Malawi","81","2017-FEB-27"
"347","Lesotho","35","2017-FEB-27"
"348","Kyrgyzstan","520","2017-FEB-27"
"349","Gabon","37","2017-FEB-27"
"350","Ivory Coast","263","2017-FEB-27"
"351","Chad","10","2017-FEB-27"
"352","Burkina Faso","39","2017-FEB-27"
"353","Bangladesh","193","2017-FEB-27"
"354","Serbia","3534","2017-FEB-27"
"355","Togo","108","2017-FEB-27"
"356","Slovakia","3958","2017-FEB-27"
"357","Reunion","339","2017-FEB-27"
"358","Paraguay","213","2017-FEB-27"
"359","Micronesia","5","2017-FEB-27"
"360","Laos","896","2017-FEB-27"
"361","Guinea","19","2017-FEB-27"
"362","Bulgaria","8089","2017-FEB-27"
"363","Algeria","53","2017-FEB-27"
"364","Zambia","352","2017-FEB-27"
"365","Mongolia","156","2017-FEB-27"
"366","Grenada","59","2017-FEB-27"
"367","Burundi","28","2017-FEB-27"
"368","Belarus","2483","2017-FEB-27"
"369","Kosovo","109","2017-FEB-27"
"370","Saint Kitts and Nevis (St. Kitts, Nev) hotels","35","2017-FEB-27"
"371","Mauritania","50","2017-FEB-27"
"372","Guinea-Bissau","4","2017-FEB-27"
"373","Gibraltar","16","2017-FEB-27"
"374","East Timor","33","2017-FEB-27"
"375","Botswana","168","2017-FEB-27"
"376","Antigua & Barbuda (Antigua, Bbda) hotels","95","2017-FEB-27"
"377","Puerto Rico","539","2017-FEB-28"
"378","Bermuda","33","2017-FEB-28"
"379","Haiti","87","2017-FEB-28"
"380","Turks & Caicos Islands (Turks, Ccs Is) hotels","96","2017-FEB-28"
"381","Iceland","1513","2017-FEB-28"
"382","Guam","36","2017-FEB-28"
"383","Barbados","389","2017-FEB-28"
"384","Jamaica","841","2017-FEB-28"
"385","Saint Barts (St. Barts) hotels","141","2017-FEB-28"
"386","Bahamas","219","2017-FEB-28"
"387","Singapore","472","2017-FEB-28"
"388","Aruba","345","2017-FEB-28"
"389","Costa Rica","3238","2017-FEB-28"
"390","Maldives","574","2017-FEB-28"
"391","Guadeloupe","599","2017-FEB-28"
"392","Cayman Islands","90","2017-FEB-28"
"393","United Kingdom (the UK) hotels","43744","2017-FEB-28"
"394","Italy","133362","2017-FEB-28"
"395","Canada","11246","2017-FEB-28"
"396","Dominican Republic (Dominican Rep) hotels","1545","2017-FEB-28"
